Country,Year,Value,GHG
European Union - 27 countries (from 2020),1995,:,CO2
Belgium,1995,:,CO2
Bulgaria,1995,:,CO2
Czechia,1995,:,CO2
Denmark,1995,65371039.87,CO2
Germany,1995,:,CO2
Estonia,1995,:,CO2
Ireland,1995,:,CO2
Greece,1995,:,CO2
Spain,1995,:,CO2
France,1995,:,CO2
Croatia,1995,:,CO2
Italy,1995,:,CO2
Cyprus,1995,:,CO2
Latvia,1995,:,CO2
Lithuania,1995,:,CO2
Luxembourg,1995,:,CO2
Hungary,1995,48746040.52,CO2
Malta,1995,2418259.16,CO2
Netherlands,1995,150450849.91,CO2
Austria,1995,:,CO2
Poland,1995,:,CO2
Portugal,1995,47137690.31,CO2
Romania,1995,:,CO2
Slovenia,1995,:,CO2
Slovakia,1995,37498231.07,CO2
Finland,1995,:,CO2
Sweden,1995,:,CO2
Iceland,1995,2182007.73,CO2
Norway,1995,:,CO2
Switzerland,1995,26495684.3,CO2
Serbia,1995,:,CO2
Türkiye,1995,151607439,CO2
European Union - 27 countries (from 2020),1996,:,CO2
Belgium,1996,:,CO2
Bulgaria,1996,:,CO2
Czechia,1996,:,CO2
Denmark,1996,78215127.13,CO2
Germany,1996,:,CO2
Estonia,1996,:,CO2
Ireland,1996,:,CO2
Greece,1996,:,CO2
Spain,1996,:,CO2
France,1996,:,CO2
Croatia,1996,:,CO2
Italy,1996,:,CO2
Cyprus,1996,:,CO2
Latvia,1996,:,CO2
Lithuania,1996,:,CO2
Luxembourg,1996,:,CO2
Hungary,1996,50233577.36,CO2
Malta,1996,2491942.22,CO2
Netherlands,1996,153798772.35,CO2
Austria,1996,:,CO2
Poland,1996,:,CO2
Portugal,1996,43921535.98,CO2
Romania,1996,:,CO2
Slovenia,1996,:,CO2
Slovakia,1996,37430795.83,CO2
Finland,1996,:,CO2
Sweden,1996,:,CO2
Iceland,1996,2426545.59,CO2
Norway,1996,:,CO2
Switzerland,1996,27102541.28,CO2
Serbia,1996,:,CO2
Türkiye,1996,168116814,CO2
European Union - 27 countries (from 2020),1997,:,CO2
Belgium,1997,:,CO2
Bulgaria,1997,:,CO2
Czechia,1997,:,CO2
Denmark,1997,70497638.07,CO2
Germany,1997,:,CO2
Estonia,1997,:,CO2
Ireland,1997,:,CO2
Greece,1997,:,CO2
Spain,1997,:,CO2
France,1997,:,CO2
Croatia,1997,:,CO2
Italy,1997,:,CO2
Cyprus,1997,:,CO2
Latvia,1997,:,CO2
Lithuania,1997,:,CO2
Luxembourg,1997,:,CO2
Hungary,1997,49382856.62,CO2
Malta,1997,2537157.86,CO2
Netherlands,1997,152803255.36,CO2
Austria,1997,:,CO2
Poland,1997,:,CO2
Portugal,1997,46634625.72,CO2
Romania,1997,:,CO2
Slovenia,1997,:,CO2
Slovakia,1997,37114189.34,CO2
Finland,1997,:,CO2
Sweden,1997,:,CO2
Iceland,1997,2552768.63,CO2
Norway,1997,:,CO2
Switzerland,1997,26457324.71,CO2
Serbia,1997,:,CO2
Türkiye,1997,179292160,CO2
European Union - 27 countries (from 2020),1998,:,CO2
Belgium,1998,:,CO2
Bulgaria,1998,:,CO2
Czechia,1998,:,CO2
Denmark,1998,70407505.05,CO2
Germany,1998,:,CO2
Estonia,1998,:,CO2
Ireland,1998,:,CO2
Greece,1998,:,CO2
Spain,1998,:,CO2
France,1998,:,CO2
Croatia,1998,:,CO2
Italy,1998,:,CO2
Cyprus,1998,:,CO2
Latvia,1998,:,CO2
Lithuania,1998,:,CO2
Luxembourg,1998,:,CO2
Hungary,1998,50625545.32,CO2
Malta,1998,2529984.24,CO2
Netherlands,1998,155162642,CO2
Austria,1998,:,CO2
Poland,1998,:,CO2
Portugal,1998,50651385.73,CO2
Romania,1998,:,CO2
Slovenia,1998,:,CO2
Slovakia,1998,36786310.78,CO2
Finland,1998,:,CO2
Sweden,1998,:,CO2
Iceland,1998,2571415.69,CO2
Norway,1998,:,CO2
Switzerland,1998,27798186.69,CO2
Serbia,1998,:,CO2
Türkiye,1998,183707242,CO2
European Union - 27 countries (from 2020),1999,:,CO2
Belgium,1999,:,CO2
Bulgaria,1999,:,CO2
Czechia,1999,:,CO2
Denmark,1999,66877195.35,CO2
Germany,1999,:,CO2
Estonia,1999,:,CO2
Ireland,1999,:,CO2
Greece,1999,:,CO2
Spain,1999,:,CO2
France,1999,:,CO2
Croatia,1999,:,CO2
Italy,1999,:,CO2
Cyprus,1999,:,CO2
Latvia,1999,:,CO2
Lithuania,1999,:,CO2
Luxembourg,1999,:,CO2
Hungary,1999,50519383.46,CO2
Malta,1999,2565987.91,CO2
Netherlands,1999,152411056.27,CO2
Austria,1999,:,CO2
Poland,1999,:,CO2
Portugal,1999,57944304.71,CO2
Romania,1999,:,CO2
Slovenia,1999,:,CO2
Slovakia,1999,36135309.09,CO2
Finland,1999,:,CO2
Sweden,1999,:,CO2
Iceland,1999,2877887.04,CO2
Norway,1999,:,CO2
Switzerland,1999,27730937.47,CO2
Serbia,1999,:,CO2
Türkiye,1999,179412850,CO2
European Union - 27 countries (from 2020),2000,:,CO2
Belgium,2000,:,CO2
Bulgaria,2000,:,CO2
Czechia,2000,:,CO2
Denmark,2000,66390968.88,CO2
Germany,2000,:,CO2
Estonia,2000,:,CO2
Ireland,2000,:,CO2
Greece,2000,:,CO2
Spain,2000,:,CO2
France,2000,:,CO2
Croatia,2000,:,CO2
Italy,2000,:,CO2
Cyprus,2000,:,CO2
Latvia,2000,7098452.81,CO2
Lithuania,2000,:,CO2
Luxembourg,2000,:,CO2
Hungary,2000,47532947.78,CO2
Malta,2000,2450301.67,CO2
Netherlands,2000,155836569.69,CO2
Austria,2000,:,CO2
Poland,2000,:,CO2
Portugal,2000,56191155.73,CO2
Romania,2000,:,CO2
Slovenia,2000,:,CO2
Slovakia,2000,34740440.63,CO2
Finland,2000,:,CO2
Sweden,2000,:,CO2
Iceland,2000,3034397.35,CO2
Norway,2000,:,CO2
Switzerland,2000,27944173.23,CO2
Serbia,2000,:,CO2
Türkiye,2000,199351217,CO2
European Union - 27 countries (from 2020),2001,:,CO2
Belgium,2001,:,CO2
Bulgaria,2001,:,CO2
Czechia,2001,:,CO2
Denmark,2001,66873575.57,CO2
Germany,2001,:,CO2
Estonia,2001,:,CO2
Ireland,2001,:,CO2
Greece,2001,:,CO2
Spain,2001,:,CO2
France,2001,:,CO2
Croatia,2001,:,CO2
Italy,2001,:,CO2
Cyprus,2001,:,CO2
Latvia,2001,7582163.18,CO2
Lithuania,2001,:,CO2
Luxembourg,2001,:,CO2
Hungary,2001,48264769.86,CO2
Malta,2001,2674923.14,CO2
Netherlands,2001,159783271.78,CO2
Austria,2001,:,CO2
Poland,2001,:,CO2
Portugal,2001,56017168.46,CO2
Romania,2001,:,CO2
Slovenia,2001,:,CO2
Slovakia,2001,36207069.43,CO2
Finland,2001,:,CO2
Sweden,2001,:,CO2
Iceland,2001,2880098.65,CO2
Norway,2001,:,CO2
Switzerland,2001,28772010.03,CO2
Serbia,2001,:,CO2
Türkiye,2001,186724828,CO2
European Union - 27 countries (from 2020),2002,:,CO2
Belgium,2002,:,CO2
Bulgaria,2002,:,CO2
Czechia,2002,:,CO2
Denmark,2002,68126316.12,CO2
Germany,2002,:,CO2
Estonia,2002,:,CO2
Ireland,2002,:,CO2
Greece,2002,:,CO2
Spain,2002,:,CO2
France,2002,:,CO2
Croatia,2002,:,CO2
Italy,2002,:,CO2
Cyprus,2002,:,CO2
Latvia,2002,7594942.19,CO2
Lithuania,2002,:,CO2
Luxembourg,2002,:,CO2
Hungary,2002,46693452.55,CO2
Malta,2002,2659561.37,CO2
Netherlands,2002,159029821.26,CO2
Austria,2002,:,CO2
Poland,2002,:,CO2
Portugal,2002,59847541.25,CO2
Romania,2002,:,CO2
Slovenia,2002,:,CO2
Slovakia,2002,35126566.47,CO2
Finland,2002,:,CO2
Sweden,2002,:,CO2
Iceland,2002,2914967.23,CO2
Norway,2002,:,CO2
Switzerland,2002,27355040.45,CO2
Serbia,2002,:,CO2
Türkiye,2002,192101965,CO2
European Union - 27 countries (from 2020),2003,:,CO2
Belgium,2003,:,CO2
