Country,Year,Value,GHG,Iso3
Belgium,2008,87656849.13,CO2,BEL
Bulgaria,2008,53252861.24,CO2,BGR
Czechia,2008,103864484.19,CO2,CZE
Denmark,2008,85911439.04,CO2,DNK
Germany,2008,733952059.71,CO2,DEU
Estonia,2008,17951402.69,CO2,EST
Ireland,2008,30938584.15,CO2,IRL
Greece,2008,101476310.76,CO2,GRC
Spain,2008,269884682.84,CO2,ESP
France,2008,312003866.88,CO2,FRA
Croatia,2008,18149226.22,CO2,HRV
Italy,2008,380272530.08,CO2,ITA
Cyprus,2008,7588141.3,CO2,CYP
Latvia,2008,8678132.93,CO2,LVA
Lithuania,2008,13282020.21,CO2,LTU
Luxembourg,2008,7391374,CO2,LUX
Hungary,2008,46430545.91,CO2,HUN
Malta,2008,2697888.18,CO2,MLT
Netherlands,2008,157690728.93,CO2,NLD
Austria,2008,54848095.99,CO2,AUT
Poland,2008,286923919.57,CO2,POL
Portugal,2008,52793755.86,CO2,PRT
Romania,2008,95346626.34,CO2,ROU
Slovenia,2008,13282176.3,CO2,SVN
Slovakia,2008,33901805.12,CO2,SVK
Finland,2008,55041688.63,CO2,FIN
Sweden,2008,45208606.04,CO2,SWE
Iceland,2008,4018118.02,CO2,ISL
Norway,2008,48941336.39,CO2,NOR
Switzerland,2008,28919538.3,CO2,CHE
Serbia,2008,:,CO2,SRB
Türkiye,2008,248172092,CO2,TUR
Belgium,2009,76759650.62,CO2,BEL
Bulgaria,2009,45111798.86,CO2,BGR
Czechia,2009,95297240.55,CO2,CZE
Denmark,2009,79998746.9,CO2,DNK
Germany,2009,722857526.55,CO2,DEU
Estonia,2009,14713147.68,CO2,EST
Ireland,2009,26891737.43,CO2,IRL
Greece,2009,94802970.85,CO2,GRC
Spain,2009,232093849.86,CO2,ESP
France,2009,285395870.69,CO2,FRA
Croatia,2009,16319605.96,CO2,HRV
Italy,2009,320039058.46,CO2,ITA
Cyprus,2009,7297438.03,CO2,CYP
Latvia,2009,7249103.9,CO2,LVA
Lithuania,2009,11065299.91,CO2,LTU
Luxembourg,2009,7413868,CO2,LUX
Hungary,2009,40744127.8,CO2,HUN
Malta,2009,2526623.36,CO2,MLT
Netherlands,2009,151516478.55,CO2,NLD
Austria,2009,48899430.19,CO2,AUT
Poland,2009,271751076.34,CO2,POL
Portugal,2009,49837772.74,CO2,PRT
Romania,2009,75381296.71,CO2,ROU
Slovenia,2009,12046078.9,CO2,SVN
Slovakia,2009,30461637.63,CO2,SVK
Finland,2009,52820262.6,CO2,FIN
Sweden,2009,40434625.94,CO2,SWE
Iceland,2009,3781402.35,CO2,ISL
Norway,2009,45940850.12,CO2,NOR
Switzerland,2009,27934073.8,CO2,CHE
Serbia,2009,:,CO2,SRB
Türkiye,2009,247567285,CO2,TUR
Belgium,2010,82665899.99,CO2,BEL
Bulgaria,2010,46909842.02,CO2,BGR
Czechia,2010,97202479.87,CO2,CZE
Denmark,2010,78789963.61,CO2,DNK
Germany,2010,692149282.28,CO2,DEU
Estonia,2010,19285244.06,CO2,EST
Ireland,2010,34496186.91,CO2,IRL
Greece,2010,90038488.92,CO2,GRC
Spain,2010,219249918.94,CO2,ESP
France,2010,294070508.99,CO2,FRA
Croatia,2010,15790286.79,CO2,HRV
Italy,2010,331877124.8,CO2,ITA
Cyprus,2010,6894142.06,CO2,CYP
Latvia,2010,8495425.45,CO2,LVA
Lithuania,2010,11817980.69,CO2,LTU
Luxembourg,2010,7501861.0,CO2,LUX
Hungary,2010,41608409.26,CO2,HUN
Malta,2010,2594158.49,CO2,MLT
Netherlands,2010,159461143.95,CO2,NLD
Austria,2010,52507471.33,CO2,AUT
Poland,2010,285644911.36,CO2,POL
Portugal,2010,45318402.29,CO2,PRT
Romania,2010,72484445.57,CO2,ROU
Slovenia,2010,12264000.44,CO2,SVN
Slovakia,2010,30650962.28,CO2,SVK
Finland,2010,61156450.52,CO2,FIN
Sweden,2010,46632507.94,CO2,SWE
Iceland,2010,3746186.61,CO2,ISL
Norway,2010,49586592.1,CO2,NOR
Switzerland,2010,28774911.37,CO2,CHE
Serbia,2010,44341254.75,CO2,SRB
Türkiye,2010,248992840.0,CO2,TUR
Belgium,2011,76756689.38,CO2,BEL
Bulgaria,2011,52035383.25,CO2,BGR
Czechia,2011,94414077.53,CO2,CZE
Denmark,2011,78436253.46,CO2,DNK
Germany,2011,680793245.57,CO2,DEU
Estonia,2011,18927876.4,CO2,EST
Ireland,2011,32767409.83,CO2,IRL
Greece,2011,85975442.31,CO2,GRC
Spain,2011,226684994.1,CO2,ESP
France,2011,278627032.47,CO2,FRA
Croatia,2011,15594119.44,CO2,HRV
Italy,2011,321830908.76,CO2,ITA
Cyprus,2011,6319082.95,CO2,CYP
Latvia,2011,7785828.36,CO2,LVA
Lithuania,2011,12338166.36,CO2,LTU
Luxembourg,2011,6853838.0,CO2,LUX
Hungary,2011,41548167.07,CO2,HUN
Malta,2011,2605478.61,CO2,MLT
Netherlands,2011,152142356.91,CO2,NLD
Austria,2011,50945348.41,CO2,AUT
Poland,2011,289922437.59,CO2,POL
Portugal,2011,45220645.83,CO2,PRT
Romania,2011,79902001.14,CO2,ROU
Slovenia,2011,11953985.44,CO2,SVN
Slovakia,2011,31373493.78,CO2,SVK
Finland,2011,53957427.46,CO2,FIN
Sweden,2011,42446548.57,CO2,SWE
Iceland,2011,3653036.1,CO2,ISL
Norway,2011,54562966.2,CO2,NOR
Switzerland,2011,27841739.5,CO2,CHE
Serbia,2011,49320137.25,CO2,SRB
Türkiye,2011,270416260.0,CO2,TUR
Belgium,2012,73304707.45,CO2,BEL
Bulgaria,2012,47190042.73,CO2,BGR
Czechia,2012,89952602.22,CO2,CZE
Denmark,2012,71594993.06,CO2,DNK
Germany,2012,692222668.06,CO2,DEU
Estonia,2012,17612896.61,CO2,EST
Ireland,2012,33808072.99,CO2,IRL
Greece,2012,84908533.49,CO2,GRC
Spain,2012,224715043.41,CO2,ESP
France,2012,277154367.79,CO2,FRA
Croatia,2012,14114598.92,CO2,HRV
Italy,2012,306409040.94,CO2,ITA
Cyprus,2012,5714363.1,CO2,CYP
Latvia,2012,7476366.21,CO2,LVA
Lithuania,2012,12263668.82,CO2,LTU
Luxembourg,2012,6735634.0,CO2,LUX
Hungary,2012,37091290.94,CO2,HUN
Malta,2012,2749634.86,CO2,MLT
Netherlands,2012,148464406.8,CO2,NLD
Austria,2012,48105427.56,CO2,AUT
Poland,2012,280684326.34,CO2,POL
Portugal,2012,44382645.09,CO2,PRT
Romania,2012,76111609.69,CO2,ROU
Slovenia,2012,11308043.92,CO2,SVN
Slovakia,2012,28890179.15,CO2,SVK
Finland,2012,48272855.44,CO2,FIN
Sweden,2012,39673355.25,CO2,SWE
Iceland,2012,3773596.3,CO2,ISL
Norway,2012,54038380.12,CO2,NOR
Switzerland,2012,28332830.57,CO2,CHE
Serbia,2012,42904908.19,CO2,SRB
Türkiye,2012,272789379.0,CO2,TUR
Belgium,2013,71323896.52,CO2,BEL
Bulgaria,2013,41765716.87,CO2,BGR
Czechia,2013,85961864.46,CO2,CZE
Denmark,2013,69933338.6,CO2,DNK
Germany,2013,702429767.51,CO2,DEU
Estonia,2013,19409339.92,CO2,EST
Ireland,2013,33410990.62,CO2,IRL
Greece,2013,76825312.93,CO2,GRC
Spain,2013,197864331.91,CO2,ESP
France,2013,275101264.52,CO2,FRA
Croatia,2013,13769372.77,CO2,HRV
Italy,2013,275865535.39,CO2,ITA
Cyprus,2013,5102842.73,CO2,CYP
Latvia,2013,7140942.69,CO2,LVA
Lithuania,2013,11347160.63,CO2,LTU
Luxembourg,2013,6563498.0,CO2,LUX
Hungary,2013,35292390.99,CO2,HUN
Malta,2013,2437074.88,CO2,MLT
Netherlands,2013,147784062.38,CO2,NLD
Austria,2013,46755719.22,CO2,AUT
Poland,2013,278009522.57,CO2,POL
Portugal,2013,42672275.82,CO2,PRT
Romania,2013,65715183.04,CO2,ROU
Slovenia,2013,11106571.61,CO2,SVN
Slovakia,2013,28527684.46,CO2,SVK
Finland,2013,49154693.73,CO2,FIN
Sweden,2013,38474528.66,CO2,SWE
Iceland,2013,4179345.72,CO2,ISL
Norway,2013,54324391.23,CO2,NOR
Switzerland,2013,28687233.25,CO2,CHE
Serbia,2013,44328973.53,CO2,SRB
Türkiye,2013,265510720.0,CO2,TUR
Belgium,2014,69202786.13,CO2,BEL
Bulgaria,2014,44482999.13,CO2,BGR
Czechia,2014,85070438.35,CO2,CZE
Denmark,2014,64676052.67,CO2,DNK
Germany,2014,662356550.91,CO2,DEU
Estonia,2014,18498406.48,CO2,EST
Ireland,2014,34023275.5,CO2,IRL
Greece,2014,74441473.76,CO2,GRC
Spain,2014,200881452.22,CO2,ESP
France,2014,253017054.35,CO2,FRA
Croatia,2014,13118487.3,CO2,HRV
Italy,2014,257962868.18,CO2,ITA
Cyprus,2014,5442692.42,CO2,CYP
Latvia,2014,6955643.01,CO2,LVA
Lithuania,2014,12026747.06,CO2,LTU
Luxembourg,2014,6780910.0,CO2,LUX
Hungary,2014,35922158.58,CO2,HUN
Malta,2014,2427883.48,CO2,MLT
Netherlands,2014,147652569.46,CO2,NLD
Austria,2014,44339328.24,CO2,AUT
Poland,2014,269909388.09,CO2,POL
Portugal,2014,42545787.25,CO2,PRT
Romania,2014,66203202.38,CO2,ROU
Slovenia,2014,9750627.34,CO2,SVN
Slovakia,2014,26665689.06,CO2,SVK
Finland,2014,44900715.27,CO2,FIN
Sweden,2014,37062214.23,CO2,SWE
Iceland,2014,4247572.52,CO2,ISL
Norway,2014,53786251.34,CO2,NOR
Switzerland,2014,27052658.14,CO2,CHE
Serbia,2014,35919684.58,CO2,SRB
Türkiye,2014,280146977.0,CO2,TUR
Belgium,2015,71895703.31,CO2,BEL
Bulgaria,2015,47144934.25,CO2,BGR
Czechia,2015,83960284.9,CO2,CZE
Denmark,2015,68280862.92,CO2,DNK
Germany,2015,666026516.21,CO2,DEU
Estonia,2015,15290103.52,CO2,EST
Ireland,2015,35807246.72,CO2,IRL
Greece,2015,70951375.82,CO2,GRC
Spain,2015,215782321.67,CO2,ESP
France,2015,253820658.06,CO2,FRA
Croatia,2015,12977202.67,CO2,HRV
Italy,2015,262962327.13,CO2,ITA
Cyprus,2015,5250016.58,CO2,CYP
Latvia,2015,7251349.11,CO2,LVA
Lithuania,2015,12622365.3,CO2,LTU
Luxembourg,2015,7631415.0,CO2,LUX
Hungary,2015,37842948.96,CO2,HUN
Malta,2015,1687126.99,CO2,MLT
Netherlands,2015,153250033.25,CO2,NLD
Austria,2015,45406103.54,CO2,AUT
Poland,2015,273372565.64,CO2,POL
Portugal,2015,46848142.76,CO2,PRT
Romania,2015,64824876.91,CO2,ROU
Slovenia,2015,9923024.34,CO2,SVN
Slovakia,2015,27806964.93,CO2,SVK
Finland,2015,41641665.25,CO2,FIN
Sweden,2015,37544045.87,CO2,SWE
Iceland,2015,4495222.77,CO2,ISL
Norway,2015,60809261.77,CO2,NOR
Switzerland,2015,26746007.98,CO2,CHE
Serbia,2015,43665398.04,CO2,SRB
Türkiye,2015,310123230.0,CO2,TUR
Belgium,2016,71627061.68,CO2,BEL
Bulgaria,2016,44822120.94,CO2,BGR
Czechia,2016,86095390.75,CO2,CZE
Denmark,2016,73463290.18,CO2,DNK
Germany,2016,657452631.59,CO2,DEU
Estonia,2016,16962030.11,CO2,EST
Ireland,2016,39796178.43,CO2,IRL
Greece,2016,68985864.96,CO2,GRC
Spain,2016,204417582.29,CO2,ESP
France,2016,253953753.32,CO2,FRA
Croatia,2016,13042454.5,CO2,HRV
Italy,2016,260583343.72,CO2,ITA
Cyprus,2016,5594924.22,CO2,CYP
Latvia,2016,7083570.54,CO2,LVA
Lithuania,2016,12296092.3,CO2,LTU
Luxembourg,2016,7474114.0,CO2,LUX
Hungary,2016,37505459.54,CO2,HUN
Malta,2016,1345031.45,CO2,MLT
Netherlands,2016,152738166.97,CO2,NLD
Austria,2016,44618393.29,CO2,AUT
Poland,2016,284120185.6,CO2,POL
Portugal,2016,44624918.1,CO2,PRT
Romania,2016,63038788.28,CO2,ROU
Slovenia,2016,10392081.77,CO2,SVN
Slovakia,2016,28362529.42,CO2,SVK
Finland,2016,44945858.63,CO2,FIN
Sweden,2016,38828540.56,CO2,SWE
Iceland,2016,5131369.32,CO2,ISL
Norway,2016,52388806.84,CO2,NOR
Switzerland,2016,26938847.5,CO2,CHE
Serbia,2016,44757929.0,CO2,SRB
Türkiye,2016,323151517.0,CO2,TUR
Belgium,2017,71658116.71,CO2,BEL
Bulgaria,2017,46720379.44,CO2,BGR
Czechia,2017,84522238.28,CO2,CZE
Denmark,2017,72654851.32,CO2,DNK
Germany,2017,649273598.36,CO2,DEU
Estonia,2017,18053840.73,CO2,EST
Ireland,2017,41808714.75,CO2,IRL
Greece,2017,74376892.38,CO2,GRC
Spain,2017,219079617.01,CO2,ESP
France,2017,263741587.5,CO2,FRA
Croatia,2017,13659990.32,CO2,HRV
Italy,2017,261483093.45,CO2,ITA
Cyprus,2017,5825333.14,CO2,CYP
Latvia,2017,7215957.33,CO2,LVA
Lithuania,2017,12958343.1,CO2,LTU
Luxembourg,2017,7450554.0,CO2,LUX
Hungary,2017,39524581.02,CO2,HUN
Malta,2017,1488089.1,CO2,MLT
Netherlands,2017,150141833.3,CO2,NLD
Austria,2017,47695358.1,CO2,AUT
Poland,2017,300712032.07,CO2,POL
Portugal,2017,49669685.25,CO2,PRT
Romania,2017,65048380.69,CO2,ROU
Slovenia,2017,10598340.59,CO2,SVN
Slovakia,2017,29340846.19,CO2,SVK
Finland,2017,42234732.81,CO2,FIN
Sweden,2017,37409441.97,CO2,SWE
Iceland,2017,5502454.26,CO2,ISL
Norway,2017,55009483.01,CO2,NOR
Switzerland,2017,26450944.43,CO2,CHE
Serbia,2017,45630398.38,CO2,SRB
Türkiye,2017,337000661.0,CO2,TUR
Belgium,2018,73544083.46,CO2,BEL
Bulgaria,2018,42562492.98,CO2,BGR
Czechia,2018,85917613.26,CO2,CZE
Denmark,2018,73425967.48,CO2,DNK
Germany,2018,627782258.63,CO2,DEU
Estonia,2018,17128830.16,CO2,EST
Ireland,2018,42501389.71,CO2,IRL
Greece,2018,73997783.63,CO2,GRC
Spain,2018,212811390.79,CO2,ESP
France,2018,256242750.46,CO2,FRA
Croatia,2018,12705855.47,CO2,HRV
Italy,2018,256155930.02,CO2,ITA
Cyprus,2018,5874594.89,CO2,CYP
Latvia,2018,7823740.0,CO2,LVA
Lithuania,2018,14105526.84,CO2,LTU
Luxembourg,2018,7588714.0,CO2,LUX
Hungary,2018,39888109.4,CO2,HUN
Malta,2018,1615909.14,CO2,MLT
Netherlands,2018,146206401.72,CO2,NLD
Austria,2018,45168202.93,CO2,AUT
Poland,2018,300861879.16,CO2,POL
Portugal,2018,46103947.59,CO2,PRT
Romania,2018,64811227.57,CO2,ROU
Slovenia,2018,10875014.13,CO2,SVN
Slovakia,2018,29707094.56,CO2,SVK
Finland,2018,43604005.64,CO2,FIN
Sweden,2018,37257668.47,CO2,SWE
Iceland,2018,5744632.24,CO2,ISL
Norway,2018,58284265.98,CO2,NOR
Switzerland,2018,26154334.23,CO2,CHE
Serbia,2018,45175655.47,CO2,SRB
Türkiye,2018,333548997.0,CO2,TUR
Belgium,2019,74209541.64,CO2,BEL
Bulgaria,2019,41209020.26,CO2,BGR
Czechia,2019,80891193.23,CO2,CZE
Denmark,2019,70299345.18,CO2,DNK
Germany,2019,565374403.53,CO2,DEU
Estonia,2019,11924934.0,CO2,EST
Ireland,2019,41482761.28,CO2,IRL
Greece,2019,68586235.64,CO2,GRC
Spain,2019,196989064.14,CO2,ESP
France,2019,250715911.34,CO2,FRA
Croatia,2019,12882215.72,CO2,HRV
Italy,2019,249747825.1,CO2,ITA
Cyprus,2019,5659033.18,CO2,CYP
Latvia,2019,7888435.71,CO2,LVA
Lithuania,2019,14472688.95,CO2,LTU
Luxembourg,2019,8217502.0,CO2,LUX
Hungary,2019,38517209.28,CO2,HUN
Malta,2019,2244158.71,CO2,MLT
Netherlands,2019,143049217.09,CO2,NLD
Austria,2019,48747123.71,CO2,AUT
Poland,2019,287282933.78,CO2,POL
Portugal,2019,42352944.61,CO2,PRT
Romania,2019,61502732.5,CO2,ROU
Slovenia,2019,10721298.36,CO2,SVN
Slovakia,2019,27593906.48,CO2,SVK
Finland,2019,40868254.77,CO2,FIN
Sweden,2019,36222037.63,CO2,SWE
Iceland,2019,4889713.46,CO2,ISL
Norway,2019,58492593.47,CO2,NOR
Switzerland,2019,26230909.78,CO2,CHE
Serbia,2019,44025922.67,CO2,SRB
Türkiye,2019,312146432.0,CO2,TUR
Belgium,2020,67941159.47,CO2,BEL
Bulgaria,2020,35296686.17,CO2,BGR
Czechia,2020,71628725.85,CO2,CZE
Denmark,2020,60295669.25,CO2,DNK
Germany,2020,494367063.77,CO2,DEU
