Country,Year,Total - all NACE activities,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers,Activities of extraterritorial organisations and bodies,GHG
European Union - 27 countries (from 2020),1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Belgium,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Bulgaria,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Czechia,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Denmark,1995,65371039.87,2990124.07,1476104.96,8695731.27,30488068.32,735307.45,841512.44,1230101.19,17312803.46,125968.42,123200.22,50912.02,72813.88,117646.97,109556.1,435986.43,155379,272717.75,65929.77,71176.17,0,0,CO2
Germany,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Estonia,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Ireland,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Greece,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Spain,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
France,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Croatia,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Italy,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Cyprus,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Latvia,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Lithuania,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Luxembourg,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Hungary,1995,48746040.52,1786275.53,324043.21,16817004.66,20171295.97,171366.01,361717.9,654015.33,4767173.12,144369.66,249920.84,311876.21,460110.85,290244.85,178152.58,1048226.27,444757.24,303384.46,105479.11,156626.72,0,0,CO2
Malta,1995,2418259.16,13250.92,7758.33,88274,1592556.79,10815.07,29378.6,58203.68,386321.47,85393.87,4204.79,199.22,15640.76,12150.74,6099.66,8058.02,2382.88,56049.35,6999.69,34521.32,0,0,CO2
Netherlands,1995,150450849.91,10951412.21,2053287.04,47406059.75,47720997.35,1197291.55,4084199.32,4485131.03,22894369.46,889725.03,369811,664598.59,575609.39,836081.57,1732551.61,1686726.86,680880.71,1143746.62,481965.51,596405.3,0,0,CO2
Austria,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Poland,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Portugal,1995,47137690.31,1554300,507100,17945800,17458800,109800,1504800,1602000,4465670.11,99800,54600,49400,29900,102700,127400,777620.2,198900,362100,60300,126700,0,0,CO2
Romania,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovenia,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovakia,1995,37498231.07,199124.88,96344.7,22608142.49,7357795.42,261236.28,1706503.09,148859.56,3086475.18,161300.15,10656.88,1583.61,251265.71,503799.84,178226.1,346154.26,110975.33,183341.36,134019.89,152211.71,0,214.63,CO2
Finland,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Sweden,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Iceland,1995,2182007.73,785299.43,358.58,653447.03,87112.85,5917.82,151984.77,20724.75,388060.92,991.96,2220.79,43805.36,1831.04,3041.43,3032.89,4742.26,204.22,1159.18,597.27,948.32,0,26526.89,CO2
Norway,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Switzerland,1995,26495684.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Serbia,1995,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Türkiye,1995,151607439,7851628,941037,70594484,43247551,110647,3467213,6564345,12316134,1763550,112924,240801,165966,391012,295926,1165550,990930,718683,94129,549111,21447,4371,CO2
European Union - 27 countries (from 2020),1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Belgium,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Bulgaria,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Czechia,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Denmark,1996,78215127.13,2909758.44,1612840.39,8782447.13,42895446.12,741788.91,889851.12,1304884.86,17386053.18,117959.91,134420.53,59173.05,82924.92,130919.41,121982.66,368255.78,183843.39,318721.92,79620.02,94235.4,0,0,CO2
Germany,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Estonia,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Ireland,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Greece,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Spain,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
France,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Croatia,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Italy,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Cyprus,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Latvia,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Lithuania,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Luxembourg,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Hungary,1996,50233577.36,1970390.67,319725.95,17166470.32,20370336.03,179828.67,331445.33,790469.73,4932350.29,165299.74,328989.72,381493.69,571884.41,360172.75,219024.21,1054693.28,449349.42,348021.2,109842.84,183789.12,0,0,CO2
Malta,1996,2491942.22,14647.15,7921.06,90128.9,1649207.23,11536.35,31214.78,61450.11,389730.94,86291.55,4440.07,210.24,15927.69,12986.32,6489.44,8508.56,2497.81,56666.91,7069.93,35017.19,0,0,CO2
Netherlands,1996,153798772.35,11603366.43,2139157.05,48133909.6,48184663.58,1423271.44,3433883.17,4732977.54,23486721.62,1021770.8,409473.67,742047.88,661216.36,910457.26,1749876.92,1844290.68,780916.97,1315874.97,548630.09,676266.34,0,0,CO2
Austria,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Poland,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
