Year,GHG,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Türkiye
1995,CO2,,,,,,,534.19,,,,,,1616.57,489.21,,,,,,957.08,478.06,,,587.72,,,2783.83,,,,101.17,
1996,CO2,,,,,,,615.17,,,,,,1594.84,509.76,,,,,,915.75,478.64,,,517.48,,,2478.89,,,,104.11,
1997,CO2,,,,,,,536.6,,,,,,1366.47,442.57,,,,,,846.51,459.62,,,513.01,,,2171.11,,,,104.88,
1998,CO2,,,,,,,522.81,,,,,,1349.29,391.4,,,,,,777.98,439.15,,,523.43,,,2045.4,,,,105.92,814.26
1999,CO2,,,,,,,469.57,,,,,,1276.35,399.11,,,,,,744.78,404.77,,,556.16,,,2090.95,,,,103.33,818.78
2000,CO2,,,,,,,433.25,,,,,,1086.73,358.65,,,944.97,,,628.57,383.86,,,499.55,,,1758.45,,,,96.57,745.81
2001,CO2,,,,,,,421.66,,,,,,929.6,354.33,,,920.1,,,663.6,371.18,,,470.5,,,1696.37,,,,93.71,932.62
2002,CO2,,,,,,,417.35,,,,,,749.24,332.39,,,859.11,,,636.23,354.07,,,480.03,,,1493.66,,,,86.5,864.41
2003,CO2,,,,,,,462.24,,,,,,741.15,341.18,,,838.97,,,672.93,352.27,,,431.54,,,1342.4,,,,89.05,833.02
2004,CO2,,,,,,,418.62,,,,,,665.15,332.78,,,746.04,,,641.85,347.71,,,437.86,,,1179.96,,,,89.23,726.16
2005,CO2,,,,,,,425.89,,,,,,601.57,248.79,,,634.77,,,585.82,328.62,,,444.17,,,1016.68,,,,87.42,636.13
2006,CO2,,,,,,,495.56,,,,,,593.07,287.03,,,562.45,,,560.02,296.74,,,395.48,,,867.02,,,,84.8,623.11
2007,CO2,,,,,,,462.17,,,,,,546.48,267.24,,,467.43,,,536.01,285.9,,,359.48,,,669.33,,,,81.32,601.11
2008,CO2,210.62,279.18,1700.52,442.67,462.23,707.41,412.09,1212.51,322.02,174.55,316.73,481.93,500.56,408.8,184.89,256.98,415.13,453.11,205.33,491.21,271.8,170.42,894.62,338.34,725.09,,569.45,402.03,263.22,144.83,77.59,529.44
2009,CO2,191.9,246.76,1387.43,416.53,444.44,705.8,399.09,1202.21,332.09,163.68,324.93,453.21,507.74,444.46,176.53,224.47,439.16,456.06,211.12,458.89,268.56,184.04,962.81,320.69,662.1,,525.62,385.17,230.81,146.51,72.5,596.16
2010,CO2,200.71,254.49,1403.55,404.65,401.74,672.67,374.9,1501.45,371.4,164.05,295.54,456.59,492.47,400.53,226.47,228.96,545.03,478.32,196.2,428.56,276.98,170.94,900.02,286.77,631.35,1606.2,492.04,391.86,221.52,142.04,65.97,483.78
2011,CO2,185.79,226.22,1437.27,399.3,358.04,627.14,366.42,1292.62,315.1,150.95,277.6,482.07,478.87,371.62,207.02,217.45,464.66,443.76,172.2,423.58,258.23,169.07,869.42,293.3,651.78,1575.82,486.38,374.6,230.14,116.84,55.95,511.0
2012,CO2,171.15,211.1,1283.72,373.83,330.43,610.26,326.1,1117.96,279.03,148.47,276.87,518.47,440.93,367.32,209.39,210.54,399.45,410.56,161.59,417.08,250.31,151.04,817.68,301.31,618.03,1440.37,431.08,363.44,235.79,104.58,54.85,451.68
2013,CO2,163.87,201.99,1151.91,368.83,318.18,597.26,311.3,1158.37,280.63,145.22,274.74,486.87,408.89,383.94,197.59,190.83,370.7,361.2,149.1,338.28,247.0,153.19,803.8,284.76,521.64,1369.22,422.3,358.56,211.02,98.69,55.76,420.67
