Country,Year,Investments,Taxes
Austria,2008,2998.22,6910.21
Austria,2009,2779.97,6782.82
Austria,2010,2918.77,6912.78
Austria,2011,2687.61,7509.33
Austria,2012,2770.14,7665.35
Austria,2013,2902.62,7725.21
Austria,2014,2939.68,7974.94
Austria,2015,2777.54,8203.7
Austria,2016,2593.16,8384.12
Austria,2017,2613.69,8844.69
Austria,2018,2814.07,8784.06
Austria,2019,2946.75,9070.67
Austria,2020,3047.25,7986.96
Austria,2021,3489.99,8775.24
Austria,2022,3042.07,8371.55
Austria,2023,3144.82,
Belgium,2008,3320.46,8081.1
Belgium,2009,2550.7,8178.1
Belgium,2010,3365.93,8879.0
Belgium,2011,3122.02,9668.4
Belgium,2012,2316.12,9735.0
Belgium,2013,2114.56,9905.5
Belgium,2014,10537.17,10254.52
Belgium,2015,2802.51,10618.06
Belgium,2016,2646.8,11469.5
Belgium,2017,3211.14,11996.93
Belgium,2018,4875.71,12422.78
Belgium,2019,4656.07,12628.04
Belgium,2020,2678.37,11588.37
Belgium,2021,3353.97,12549.6
Belgium,2022,4060.09,12285.91
Belgium,2023,4251.76,
Bulgaria,2008,527.53,1221.74
Bulgaria,2009,401.84,1062.74
Bulgaria,2010,311.13,1051.61
Bulgaria,2011,253.89,1107.8
Bulgaria,2012,365.57,1118.56
Bulgaria,2013,385.52,1200.95
Bulgaria,2014,429.0,1220.68
Bulgaria,2015,229.38,1351.75
Bulgaria,2016,302.88,1451.18
Bulgaria,2017,226.64,1468.9
Bulgaria,2018,288.78,1470.47
Bulgaria,2019,290.03,1839.16
Bulgaria,2020,435.8,1859.12
Bulgaria,2021,406.23,1978.69
Bulgaria,2022,268.5,4095.16
Bulgaria,2023,260.89,
Croatia,2008,435.05,1823.37
Croatia,2009,302.02,1694.91
Croatia,2010,263.7,1747.52
Croatia,2011,291.05,1556.63
Croatia,2012,291.57,1453.06
Croatia,2013,391.11,1583.17
Croatia,2014,405.12,1746.44
Croatia,2015,354.78,1910.08
Croatia,2016,350.31,2043.64
Croatia,2017,410.57,2168.9
Croatia,2018,376.89,2306.34
Croatia,2019,415.23,2366.12
Croatia,2020,462.44,2057.67
Croatia,2021,335.28,2257.56
Croatia,2022,398.25,2273.29
Croatia,2023,437.94,
Cyprus,2008,24.96,574.03
Cyprus,2009,17.44,519.38
Cyprus,2010,62.79,534.87
Cyprus,2011,39.22,545.7
Cyprus,2012,23.93,500.35
Cyprus,2013,19.68,489.67
Cyprus,2014,12.3,525.06
Cyprus,2015,17.31,542.2
Cyprus,2016,26.68,553.48
Cyprus,2017,27.45,604.59
Cyprus,2018,20.88,614.39
Cyprus,2019,18.84,583.7
Cyprus,2020,60.7,517.36
Cyprus,2021,18.34,563.6
Cyprus,2022,19.26,609.62
Cyprus,2023,19.13,
Czechia,2008,986.83,3643.79
