Country,Year,Value
European Union - 27 countries (from 2020),2008,12.552
Belgium,2008,3.611
Bulgaria,2008,10.345
Czechia,2008,8.674
Denmark,2008,18.543
Germany,2008,10.072
Estonia,2008,18.811
Ireland,2008,3.979
Greece,2008,8.183
Spain,2008,10.744
France,2008,11.188
Croatia,2008,21.986
Italy,2008,11.492
Cyprus,2008,5.131
Latvia,2008,29.811
Lithuania,2008,17.824
Luxembourg,2008,2.809
Hungary,2008,8.564
Malta,2008,0.195
Netherlands,2008,3.596
Austria,2008,28.788
Poland,2008,7.686
Portugal,2008,22.929
Romania,2008,20.204
Slovenia,2008,18.646
Slovakia,2008,7.723
Finland,2008,31.071
Sweden,2008,43.922
Iceland,2008,67.981
Norway,2008,62.003
Montenegro,2008,32.29
Moldova,2008,6.994
North Macedonia,2008,15.555
Albania,2008,32.448
Serbia,2008,15.888
Kosovo*,2008,18.429
European Union - 27 countries (from 2020),2009,13.85
Belgium,2009,4.746
Bulgaria,2009,12.005
Czechia,2009,9.977
Denmark,2009,19.948
Germany,2009,10.851
Estonia,2009,23.009
Ireland,2009,5.243
Greece,2009,8.731
Spain,2009,12.958
France,2009,12.215
Croatia,2009,23.596
Italy,2009,12.775
Cyprus,2009,5.92
Latvia,2009,34.317
Lithuania,2009,19.798
Luxembourg,2009,2.929
Hungary,2009,11.673
Malta,2009,0.221
Netherlands,2009,4.266
Austria,2009,31.039
Poland,2009,8.676
Portugal,2009,24.405
Romania,2009,22.157
Slovenia,2009,20.765
Slovakia,2009,9.368
Finland,2009,31.045
Sweden,2009,47.024
Iceland,2009,70.238
Norway,2009,65.071
Montenegro,2009,39.371
Moldova,2009,7.924
North Macedonia,2009,17.238
Albania,2009,31.437
Serbia,2009,21.024
Kosovo*,2009,18.23
European Union - 27 countries (from 2020),2010,14.405
Belgium,2010,6.004
Bulgaria,2010,13.927
Czechia,2010,10.513
Denmark,2010,21.888
Germany,2010,11.667
Estonia,2010,24.575
Ireland,2010,5.755
Greece,2010,10.077
Spain,2010,13.782
France,2010,12.671
Croatia,2010,25.103
Italy,2010,13.023
Cyprus,2010,6.161
Latvia,2010,30.375
Lithuania,2010,19.639
Luxembourg,2010,2.851
Hungary,2010,12.742
Malta,2010,0.979
Netherlands,2010,3.917
Austria,2010,31.205
Poland,2010,9.281
Portugal,2010,24.15
Romania,2010,22.834
Slovenia,2010,21.081
Slovakia,2010,9.099
Finland,2010,32.166
Sweden,2010,46.099
Iceland,2010,70.909
Norway,2010,61.889
Montenegro,2010,40.64
Moldova,2010,21.369
North Macedonia,2010,16.451
Albania,2010,31.867
Serbia,2010,19.763
Kosovo*,2010,18.23
European Union - 27 countries (from 2020),2011,14.547
Belgium,2011,6.302
Bulgaria,2011,14.152
Czechia,2011,10.945
Denmark,2011,23.389
Germany,2011,12.47
Estonia,2011,25.515
Ireland,2011,6.605
Greece,2011,11.153
Spain,2011,13.176
France,2011,10.813
Croatia,2011,25.389
Italy,2011,12.881
Cyprus,2011,6.245
Latvia,2011,33.478
Lithuania,2011,19.943
Luxembourg,2011,2.855
Hungary,2011,13.972
Malta,2011,1.85
Netherlands,2011,4.524
Austria,2011,31.552
Poland,2011,10.337
Portugal,2011,24.603
Romania,2011,21.743
Slovenia,2011,20.937
Slovakia,2011,10.348
Finland,2011,32.532
Sweden,2011,47.632
Iceland,2011,72.298
Norway,2011,64.638
Montenegro,2011,40.648
Moldova,2011,22.081
North Macedonia,2011,16.407
Albania,2011,31.187
Serbia,2011,19.118
Kosovo*,2011,17.598
European Union - 27 countries (from 2020),2012,16.002
Belgium,2012,7.086
Bulgaria,2012,15.837
Czechia,2012,12.814
Denmark,2012,25.465
Germany,2012,13.549
Estonia,2012,25.586
Ireland,2012,7.029
Greece,2012,13.741
Spain,2012,14.239
France,2012,13.239
Croatia,2012,26.757
Italy,2012,15.441
Cyprus,2012,7.111
Latvia,2012,35.709
Lithuania,2012,21.437
Luxembourg,2012,3.112
Hungary,2012,15.53
Malta,2012,2.862
Netherlands,2012,4.659
Austria,2012,32.734
Poland,2012,10.955
Portugal,2012,24.574
Romania,2012,22.825
Slovenia,2012,21.551
Slovakia,2012,10.453
Finland,2012,34.222
Sweden,2012,49.403
Iceland,2012,73.727
Norway,2012,64.932
Montenegro,2012,41.513
Moldova,2012,24.328
North Macedonia,2012,18.128
Albania,2012,35.152
Serbia,2012,20.79
Kosovo*,2012,18.625
European Union - 27 countries (from 2020),2013,16.659
Belgium,2013,7.671
Bulgaria,2013,18.898
Czechia,2013,13.927
Denmark,2013,27.173
Germany,2013,13.757
Estonia,2013,25.356
Ireland,2013,7.521
Greece,2013,15.326
Spain,2013,15.081
France,2013,13.88
Croatia,2013,28.04
Italy,2013,16.741
Cyprus,2013,8.428
Latvia,2013,37.037
Lithuania,2013,22.689
Luxembourg,2013,3.494
Hungary,2013,16.205
Malta,2013,3.76
Netherlands,2013,4.691
Austria,2013,32.665
Poland,2013,11.452
Portugal,2013,25.699
Romania,2013,23.886
Slovenia,2013,23.16
Slovakia,2013,10.133
Finland,2013,36.63
Sweden,2013,50.153
Iceland,2013,73.787
Norway,2013,66.48
Montenegro,2013,43.696
Moldova,2013,24.419
North Macedonia,2013,18.509
Albania,2013,33.167
Serbia,2013,21.095
Kosovo*,2013,18.823
European Union - 27 countries (from 2020),2014,17.416
Belgium,2014,8.038
Bulgaria,2014,18.05
Czechia,2014,15.074
Denmark,2014,29.31
Germany,2014,14.381
