Country,Year,MegaWatt,CO2,Percentage,Population
Austria,2008,15005.534000000001,54848095.99,28.788,8321134.0
Austria,2009,15234.156000000003,48899430.19,31.039,8342939.0
Austria,2010,15588.123,52507471.33,31.205,8362829.0
Austria,2011,16085.395999999999,50945348.41,31.552,8391201.0
Austria,2012,16088.982999999998,48105427.56,32.734,8429641.0
Austria,2013,16701.260000000002,46755719.22,32.665,8479542.0
Austria,2014,17386.657,44339328.24,33.55,8546066.0
Austria,2015,18014.1,45406103.54,33.497,8642422.0
Austria,2016,18859.021,44618393.29,33.37,8736491.0
Austria,2017,19143.388000000003,47695358.1,33.136,8797497.0
Austria,2018,19928.344,45168202.93,33.784,8840518.0
Austria,2019,20336.746,48747123.71,33.755,8879939.0
Austria,2020,20719.617000000002,42609391.57,36.545,8907780.0
Austria,2021,21717.567,45072094.1,34.792,8922086.0
Belgium,2008,2184,87656849.13,3.611,10726720.0
Belgium,2009,2965,76759650.62,4.746,10801357.0
Belgium,2010,3808.6000000000004,82665899.99,6.004,10877948.0
Belgium,2011,5058.4,76756689.38,6.302,10955742.0
Belgium,2012,6067.4,73304707.45,7.086,11031140.0
Belgium,2013,6699,71323896.52,7.671,11103260.0
Belgium,2014,6895.4,69202786.13,8.038,11176727.0
Belgium,2015,7299.7,71895703.31,8.06,11248306.0
Belgium,2016,7607.3,71627061.68,8.744,11316837.0
Belgium,2017,8353.0,71658116.71,9.136,11384491.0
Belgium,2018,9208.8,73544083.46,9.472,11448598.0
Belgium,2019,10337.0,74209541.64,9.929,11510569.0
Belgium,2020,12102.1,67941159.47,13.0,11561716.0
Belgium,2021,12748.099999999999,69018533.11,13.076,11611416.0
Bulgaria,2008,3104,53252861.24,10.345,7674912.0
Bulgaria,2009,3342,45111798.86,12.005,7634737.0
Bulgaria,2010,3567,46909842.02,13.927,7592271.0
Bulgaria,2011,3809,52035383.25,14.152,7543128.0
Bulgaria,2012,4793.987,47190042.73,15.837,7488347.0
Bulgaria,2013,4954.535,41765716.87,18.898,7431169.0
Bulgaria,2014,4976.9169999999995,44482999.13,18.05,7372142.0
Bulgaria,2015,4979.888,47144934.25,18.261,7309255.0
Bulgaria,2016,4970.885,44822120.94,18.76,7245982.0
Bulgaria,2017,5123.614,46720379.44,18.695,7182430.0
Bulgaria,2018,5143.997,42562492.98,20.581,7117424.0
Bulgaria,2019,5149.373,41209020.26,21.545,7052536.0
Bulgaria,2020,5194.531000000001,35296686.17,23.319,6979181.0
Bulgaria,2021,5362.241,41128466.51,19.445,6885864.0
Croatia,2008,2080,18149226.22,21.986,4393666.0
Croatia,2009,2150,16319605.96,23.596,4382142.0
Croatia,2010,2211,15790286.79,25.103,4368680.0
Croatia,2011,2265,15594119.44,25.389,4351838.0
Croatia,2012,2320,14114598.92,26.757,4331592.0
Croatia,2013,2458,13769372.77,28.04,4308854.0
Croatia,2014,2560.1,13118487.3,27.817,4283968.0
Croatia,2015,2685.9,12977202.67,28.969,4254821.0
Croatia,2016,2756.9,13042454.5,28.266,4223748.0
Croatia,2017,2871.1,13659990.32,27.28,4192468.0
Croatia,2018,2918.3,12705855.47,28.047,4160488.0
Croatia,2019,3006.3,12882215.72,28.466,4129749.0
Croatia,2020,3189.5,12174729.04,31.023,4096872.0
Croatia,2021,3421.0000000000005,12387731.33,31.285,4060139.0
Cyprus,2008,2.225,7588141.3,5.131,1092402.0
Cyprus,2009,4.225,7297438.03,5.92,1110979.0
Cyprus,2010,89.225,6894142.06,6.161,1129693.0
Cyprus,2011,144.225,6319082.95,6.245,1145090.0
Cyprus,2012,164.225,5714363.1,7.111,1156556.0
Cyprus,2013,182.225,5102842.73,8.428,1166972.0
Cyprus,2014,211.225,5442692.42,9.144,1176997.0
Cyprus,2015,233.725,5250016.58,9.903,1187286.0
Cyprus,2016,241.725,5594924.22,9.833,1197889.0
Cyprus,2017,267.771,5825333.14,10.478,1208527.0
Cyprus,2018,276.204,5874594.89,13.873,1218834.0
Cyprus,2019,308.986,5659033.18,13.777,1228840.0
Cyprus,2020,386.859,5513894.21,16.879,1237540.0
Cyprus,2021,472.023,5459210.13,19.069,1244193.0
Czechia,2008,2578.5,103864484.19,8.674,10378586.0
Czechia,2009,3095.6,95297240.55,9.977,10421515.0
Czechia,2010,4407,97202479.87,10.513,10464750.0
Czechia,2011,4625.353,94414077.53,10.945,10496379.0
Czechia,2012,4814.161,89952602.22,12.814,10511065.0
Czechia,2013,4872.946,85961864.46,13.927,10514547.0
Czechia,2014,4941.459,85070438.35,15.074,10517178.0
Czechia,2015,4984.0380000000005,83960284.9,15.07,10523801.0
Czechia,2016,4975.407999999999,86095390.75,14.926,10527584.0
Czechia,2017,5036.811,84522238.28,14.799,10531315.0
Czechia,2018,5032.739,85917613.26,15.139,10534598.0
Czechia,2019,5123.472,80891193.23,16.239,10536876.0
Czechia,2020,5181.027,71628725.85,17.303,10530951.0
Czechia,2021,5256.948,76676215.92,17.614,10510748.0
Denmark,2008,3727.87,85911439.04,18.543,5502752.0
Denmark,2009,4201.0869999999995,79998746.9,19.948,5526455.0
Denmark,2010,4686.265,78789963.61,21.888,5550850.0
Denmark,2011,4898.893,78436253.46,23.389,5576016.0
Denmark,2012,5728.746,71594993.06,25.465,5600955.0
Denmark,2013,6317.375,69933338.6,27.173,5625393.0
Denmark,2014,5884.378000000001,64676052.67,29.31,5650654.0
Denmark,2015,6057.258,68280862.92,30.469,5677795.0
Denmark,2016,6286.106,73463290.18,31.715,5706856.0
Denmark,2017,6997.362,72654851.32,34.387,5737286.0
Denmark,2018,8612.477,73425967.48,35.159,5766689.0
Denmark,2019,7798.815999999999,70299345.18,37.02,5795879.0
Denmark,2020,9346.962,60295669.25,31.681,5825638.0
Denmark,2021,10562.908,68746022.73,41.813,5854246.0
Estonia,2008,92,17951402.69,18.811,1337013.0
Estonia,2009,169,14713147.68,23.009,1334557.0
Estonia,2010,252,19285244.06,24.575,1331535.0
Estonia,2011,330,18927876.4,25.515,1327435.0
Estonia,2012,437,17612896.61,25.586,1322682.0
Estonia,2013,406,19409339.92,25.356,1317985.0
Estonia,2014,445.0,18498406.48,26.13,1314531.0
Estonia,2015,471.0,15290103.52,28.987,1314658.0
Estonia,2016,491.0,16962030.11,29.232,1315928.0
Estonia,2017,499.1,18053840.73,29.538,1317550.0
Estonia,2018,514.2,17128830.16,29.97,1322146.0
Estonia,2019,622.6,11924934.0,31.73,1327039.0
Estonia,2020,732.67,8475035.61,30.069,1329449.0
Estonia,2021,916.77,9631930.03,37.342,1328704.0
Finland,2008,4910,55041688.63,31.071,5313358.0
Finland,2009,4835,52820262.6,31.045,5338813.0
Finland,2010,4896,61156450.52,32.166,5363279.0
Finland,2011,5045,53957427.46,32.532,5388173.0
Finland,2012,5072,48272855.44,34.222,5413865.0
Finland,2013,5315,49154693.73,36.63,5438873.0
Finland,2014,5521.0,44900715.27,38.633,5461436.0
Finland,2015,5906.0,41641665.25,39.23,5479457.0
Finland,2016,6484.0,44945858.63,38.943,5495217.0
Finland,2017,7248.0,42234732.81,40.857,5508146.0
Finland,2018,7299.0,43604005.64,41.185,5515465.0
Finland,2019,7626.0,40868254.77,42.807,5521539.0
Finland,2020,8510,34002039.54,43.939,5529468.0
Finland,2021,9251,34103501.66,42.854,5535982.0
France,2008,28854,312003866.88,11.188,61721004.0
France,2009,30315,285395870.69,12.215,62093300.0
France,2010,32734,294070508.99,12.671,62444568.0
France,2011,35735.013,278627032.47,10.813,62775272.0
France,2012,37984.046,277154367.79,13.239,63071412.0
France,2013,39533.05299999999,275101264.52,13.88,63335180.0
France,2014,41226.183,253017054.35,14.362,63588496.0
France,2015,43515.350000000006,253820658.06,14.803,63809768.0
France,2016,45501.061,253953753.32,15.451,63989320.0
France,2017,48440.879,263741587.5,15.847,64144092.0
France,2018,51084.118,256242750.46,16.384,64277812.0
France,2019,53898.562999999995,250715911.34,17.174,64399760.0
France,2020,56215.897000000004,218902335.05,19.109,64480052.0
France,2021,60043.929,239180438.62,19.316,64531448.0
Germany,2008,41176,733952059.71,10.072,81217488.0
Germany,2009,49006,722857526.55,10.851,81260624.0
Germany,2010,57629,692149282.28,11.667,81325088.0
Germany,2011,67618,680793245.57,12.47,81423384.0
Germany,2012,77871,692222668.06,13.549,81545568.0
Germany,2013,83049,702429767.51,13.757,81680592.0
Germany,2014,89337.0,662356550.91,14.381,81858824.0
Germany,2015,96651.0,666026516.21,14.901,82073232.0
Germany,2016,102921.0,657452631.59,14.885,82331432.0
Germany,2017,110594.0,649273598.36,15.472,82624368.0
Germany,2018,116148.0,627782258.63,16.66,82896696.0
Germany,2019,121987.0,565374403.53,17.266,83148144.0
Germany,2020,128251,494367063.77,19.09,83328992.0
Germany,2021,136180,539064362.44,19.281,83408560.0
Greece,2008,4210,101476310.76,8.183,11073621.0
Greece,2009,4418,94802970.85,8.731,11055503.0
Greece,2010,4715,90038488.92,10.077,11033784.0
Greece,2011,5476,85975442.31,11.153,11004730.0
Greece,2012,6525,84908533.49,13.741,10963633.0
Greece,2013,7626,76825312.93,15.326,10914501.0
Greece,2014,7963.0,74441473.76,15.683,10862972.0
Greece,2015,8089.0,70951375.82,15.69,10806644.0
Greece,2016,8368.0,68985864.96,15.39,10749742.0
Greece,2017,8624.09,74376892.38,17.3,10692230.0
Greece,2018,8949.405999999999,73997783.63,18.001,10633275.0
Greece,2019,9847.910999999998,68586235.64,19.633,10574026.0
Greece,2020,10838.076000000001,57986171.28,21.749,10512232.0
Greece,2021,12363.659,58404618.84,22.001,10445368.0
Hungary,2008,542,46430545.91,8.564,10023508.0
Hungary,2009,721,40744127.8,11.673,10008581.0
Hungary,2010,817,41608409.26,12.742,9986832.0
Hungary,2011,826,41548167.07,13.972,9953247.0
Hungary,2012,653,37091290.94,15.53,9922133.0
Hungary,2013,668,35292390.99,16.205,9894637.0
Hungary,2014,942.0,35922158.58,14.618,9867906.0
Hungary,2015,980.0,37842948.96,14.495,9844250.0
Hungary,2016,943.0,37505459.54,14.377,9815106.0
Hungary,2017,1116.0,39524581.02,13.556,9788940.0
Hungary,2018,1528.0,39888109.4,12.548,9776361.0
Hungary,2019,2183.0,38517209.28,12.634,9771799.0
Hungary,2020,2909,35444347.82,13.85,9750571.0
Hungary,2021,3790,36048975.02,14.134,9709784.0
Iceland,2008,1879,4018118.02,67.981,317722.0
Iceland,2009,1875,3781402.35,70.238,318809.0
